title,passage,questions,label
Passage 1: The lost dog,"My neighbor, Mrs. Gable, was frantic. Her beloved beagle, Buster, had gone missing from their yard. He was a mischievous dog, known for his ability to squeeze through small gaps in the fence. A group of us from the neighborhood, including my own family, joined Mrs. Gable to search for him. We split up and walked for hours, calling his name. Finally, my brother spotted him near the creek, his tail wagging happily. Buster was muddy and tired, but otherwise unharmed. Mrs. Gable was so relieved she hugged my brother and gave Buster a big, excited squeeze.",1.Why was Mrs. Gable frantic?,0
Passage 1: The lost dog,"My neighbor, Mrs. Gable, was frantic. Her beloved beagle, Buster, had gone missing from their yard. He was a mischievous dog, known for his ability to squeeze through small gaps in the fence. A group of us from the neighborhood, including my own family, joined Mrs. Gable to search for him. We split up and walked for hours, calling his name. Finally, my brother spotted him near the creek, his tail wagging happily. Buster was muddy and tired, but otherwise unharmed. Mrs. Gable was so relieved she hugged my brother and gave Buster a big, excited squeeze.",2.What was Buster known for?,0
Passage 1: The lost dog,"My neighbor, Mrs. Gable, was frantic. Her beloved beagle, Buster, had gone missing from their yard. He was a mischievous dog, known for his ability to squeeze through small gaps in the fence. A group of us from the neighborhood, including my own family, joined Mrs. Gable to search for him. We split up and walked for hours, calling his name. Finally, my brother spotted him near the creek, his tail wagging happily. Buster was muddy and tired, but otherwise unharmed. Mrs. Gable was so relieved she hugged my brother and gave Buster a big, excited squeeze.",3.Where was Buster found?,0
Passage 1: The lost dog,"My neighbor, Mrs. Gable, was frantic. Her beloved beagle, Buster, had gone missing from their yard. He was a mischievous dog, known for his ability to squeeze through small gaps in the fence. A group of us from the neighborhood, including my own family, joined Mrs. Gable to search for him. We split up and walked for hours, calling his name. Finally, my brother spotted him near the creek, his tail wagging happily. Buster was muddy and tired, but otherwise unharmed. Mrs. Gable was so relieved she hugged my brother and gave Buster a big, excited squeeze.",4.How did Buster look when he was found?,0
Passage 2: The perfect day for a picnic,"The sun shone brightly, promising a perfect day. A family decided it was an ideal time for a picnic in the park. They packed a large basket filled with sandwiches, fresh fruit, and cookies. When they arrived, they found a beautiful, shady spot under a large oak tree. A gentle breeze rustled the leaves above them as they spread out their blanket. The sound of children laughing on the playground drifted towards them, and a friendly squirrel even came to visit, hoping for a stray crumb. It was a relaxing and memorable afternoon.",1.What did the family pack for their picnic?,1
Passage 2: The perfect day for a picnic,"The sun shone brightly, promising a perfect day. A family decided it was an ideal time for a picnic in the park. They packed a large basket filled with sandwiches, fresh fruit, and cookies. When they arrived, they found a beautiful, shady spot under a large oak tree. A gentle breeze rustled the leaves above them as they spread out their blanket. The sound of children laughing on the playground drifted towards them, and a friendly squirrel even came to visit, hoping for a stray crumb. It was a relaxing and memorable afternoon.",2.Where did the family have their picnic?,1
Passage 2: The perfect day for a picnic,"The sun shone brightly, promising a perfect day. A family decided it was an ideal time for a picnic in the park. They packed a large basket filled with sandwiches, fresh fruit, and cookies. When they arrived, they found a beautiful, shady spot under a large oak tree. A gentle breeze rustled the leaves above them as they spread out their blanket. The sound of children laughing on the playground drifted towards them, and a friendly squirrel even came to visit, hoping for a stray crumb. It was a relaxing and memorable afternoon.","3.Besides the family, who else visited their picnic?",1
Passage 2: The perfect day for a picnic,"The sun shone brightly, promising a perfect day. A family decided it was an ideal time for a picnic in the park. They packed a large basket filled with sandwiches, fresh fruit, and cookies. When they arrived, they found a beautiful, shady spot under a large oak tree. A gentle breeze rustled the leaves above them as they spread out their blanket. The sound of children laughing on the playground drifted towards them, and a friendly squirrel even came to visit, hoping for a stray crumb. It was a relaxing and memorable afternoon.",4.What made the afternoon so relaxing and memorable?,1
Passage 3: The science fair project,"It was the night before the school science fair, and a student was still putting the finishing touches on the project. The experiment was about how different types of soil affect plant growth. Weeks were spent planting seeds in different pots, each with a unique soil composition, and carefully recording observations. The tri-fold display board was covered in charts and photos of the growing plants. The final step was to write the conclusion, summarizing the findings. As the last sentence was typed, a wave of relief and pride was felt. It might not win a prize, but the student was proud of the hard work.",1.What was the science fair project about?,2
Passage 3: The science fair project,"It was the night before the school science fair, and a student was still putting the finishing touches on the project. The experiment was about how different types of soil affect plant growth. Weeks were spent planting seeds in different pots, each with a unique soil composition, and carefully recording observations. The tri-fold display board was covered in charts and photos of the growing plants. The final step was to write the conclusion, summarizing the findings. As the last sentence was typed, a wave of relief and pride was felt. It might not win a prize, but the student was proud of the hard work.",2.How did the student record observations for the experiment?,2
Passage 3: The science fair project,"It was the night before the school science fair, and a student was still putting the finishing touches on the project. The experiment was about how different types of soil affect plant growth. Weeks were spent planting seeds in different pots, each with a unique soil composition, and carefully recording observations. The tri-fold display board was covered in charts and photos of the growing plants. The final step was to write the conclusion, summarizing the findings. As the last sentence was typed, a wave of relief and pride was felt. It might not win a prize, but the student was proud of the hard work.",3.What was the final step for the student to complete the project?,2
Passage 3: The science fair project,"It was the night before the school science fair, and a student was still putting the finishing touches on the project. The experiment was about how different types of soil affect plant growth. Weeks were spent planting seeds in different pots, each with a unique soil composition, and carefully recording observations. The tri-fold display board was covered in charts and photos of the growing plants. The final step was to write the conclusion, summarizing the findings. As the last sentence was typed, a wave of relief and pride was felt. It might not win a prize, but the student was proud of the hard work.",4.Why did the student feel pride about the project?,2
